"period","reporter_iso","reporter_desc","share_CHN","share_USA","more_with_china"
2000,"PAK","Pakistan",0.0739398824002925,0.167216316292766,0
2000,"PAN","Panama",0.0527700270026627,0.13631644289314,0
2000,"PCN","Pitcairn",NA,0.0733176401478304,NA
2000,"PER","Peru",0.0516701047082411,0.256532005020268,0
2000,"PHL","Philippines",0.0285366178073419,0.249729846034854,0
2000,"PLW","Palau",0.0479921065002259,0.391437030887119,0
2000,"PNG","Papua New Guinea",0.021349127153463,0.0135237783826298,1
2000,"POL","Poland",0.0155623762211356,0.0317671082575897,0
2000,"PRK","Dem. People's Rep. of Korea",0.166700022496221,0.000987229035848832,1
2000,"PRT","Portugal",0.00548500249560404,0.0398280588808702,0
2000,"PRY","Paraguay",0.037378673495179,0.0716102266437329,0
2000,"PSE","State of Palestine",0.0290049752218761,0.0652686877791728,0
2000,"PYF","French Polynesia",0.013496962345101,0.129239150193058,0
2000,"QAT","Qatar",0.0318017675507918,0.0492656460635099,0
2000,"ROU","Romania",0.0117721846492593,0.0312675636012837,0
2000,"RUS","Russian Federation",0.0483190793576008,0.0581943905428963,0
2000,"RWA","Rwanda",0.0258311808915078,0.1035081390578,0
2000,"S19","Other Asia, nes",0.0909793441743098,0.193411180755176,0
2000,"SAU","Saudi Arabia",0.012372684854311,0.0763361695993566,0
2000,"SCG","Serbia and Montenegro (...2005)",0.0137641132098416,0.00990250232635488,1
2000,"SDN","Sudan (...2011)",0.295934055128618,0.00795743750105211,1
2000,"SEN","Senegal",0.0214018007385734,0.0292061756417512,0
2000,"SGP","Singapore",0.0456251327297609,0.158783888744266,0
2000,"SHN","Saint Helena",NA,0.0592717440368125,NA
2000,"SLB","Solomon Isds",0.0680657614259971,0.0305801271925827,1
2000,"SLE","Sierra Leone",0.035392061096872,0.0487328486538444,0
2000,"SLV","El Salvador",0.00689006071524591,0.577126506634372,0
2000,"SMR","San Marino",0.00398694735215537,0.0549289524579236,0
2000,"SOM","Somalia",0.00243996157256595,0.0122486322432392,0
2000,"SPM","Saint Pierre and Miquelon",NA,0.124012394733052,NA
2000,"STP","Sao Tome and Principe",0.00223777292532163,0.0184545904012977,0
2000,"SUR","Suriname",0.00928561192869068,0.159913399297743,0
2000,"SVK","Slovakia",0.00498567539362103,0.0162014137082942,0
2000,"SVN","Slovenia",0.0058661671682893,0.0274672984296258,0
2000,"SWE","Sweden",0.0199384887901211,0.0855397692227942,0
2000,"SWZ","Eswatini",0.00233861890506633,0.0639618969652159,0
2000,"SYC","Seychelles",0.00468030602749871,0.0182975590001775,0
2000,"SYR","Syria",0.0194929010845347,0.0430549446275381,0
2000,"TCA","Turks and Caicos Isds",0.00107848837309882,0.734283658373847,0
2000,"TCD","Chad",0.00269528198942677,0.0651763371134177,0
2000,"TGO","Togo",0.0533715675353792,0.0131338631867502,1
2000,"THA","Thailand",0.047968860005274,0.168589085982971,0
2000,"TJK","Tajikistan",0.0132338822128276,0.00883300233725071,1
2000,"TKL","Tokelau",NA,0.552757568605251,NA
2000,"TKM","Turkmenistan",0.00523273171183599,0.0245589184392606,0
2000,"TLS","Timor-Leste",NA,0.00171295383282639,NA
2000,"TON","Tonga",0.0222722545558817,0.124266310962023,0
2000,"TTO","Trinidad and Tobago",0.00526589841953105,0.431842241229487,0
2000,"TUN","Tunisia",0.00676900436011295,0.027738892740825,0
2000,"TUR","Türkiye",0.0162900084399453,0.0850277224439408,0
2000,"TUV","Tuvalu",NA,0.00337519878394684,NA
2000,"TZA","United Rep. of Tanzania",0.0299385622355655,0.0283555930078827,1
2000,"UGA","Uganda",0.0179749463139381,0.0386314872790862,0
2000,"UKR","Ukraine",0.0228859036100781,0.0371401911881151,0
2000,"URY","Uruguay",0.0419588355090587,0.105779208615636,0
2000,"USA","USA",0.0476968614510243,NA,NA
2000,"UZB","Uzbekistan",0.0102072639445942,0.0394504671116913,0
2000,"VAT","Holy See (Vatican City State)",NA,0.197077699763436,NA
2000,"VCT","Saint Vincent and the Grenadines",0.0208120974397498,0.156221850197116,0
2000,"VEN","Venezuela",0.00603469366204187,0.509320023150746,0
2000,"VGB","Br. Virgin Isds",0.000135026966341352,0.0182525959855662,0
2000,"VNM","Viet Nam",0.0905287907880277,0.0382940381350809,1
2000,"VUT","Vanuatu",0.00670454759644662,0.00867764163524938,0
2000,"WLF","Wallis and Futuna Isds",0.0272243251630761,0.0174480703611089,1
